# CONCEPTICON
# Created by: QLC Research Group (M. Cysouw, V. Kirchhoff, S. Nicolai, N.  Müller, J.-M. List [rearrange and modify this order, I put me as last person, since I didn't do quite much, not to indicate that I'm some kind of a leader in this project])
# Created on: 2014-05-06 13:04
# Contact: <whatemailtousehere?>
OMEGA_WIKI	GLOSS	WOLD	POS
914854	kid	3.38	Noun
1780	horse	3.41	Noun
399816	stallion	3.42	Noun
400028	mare	3.44	Noun
6776	foal	3.45	Noun
8030	donkey	3.46	Noun
377499	mule	3.47	Noun
1505737	fowl	3.5	Noun
6308	rooster	3.52	Noun
6311	hen	3.54	Noun
5778	chicken	3.55	Noun
534216	goose	3.56	Noun
5886	duck	3.57	Noun
957309	nest	3.58	Noun
400	bird	3.581	Noun
412090	seagull	3.582	Noun
342235	heron	3.583	Noun
1510384	hawk	3.585	Noun
531741	vulture	3.586	Noun
7344	bat	3.591	Noun
374495	parrot	3.592	Noun
388727	crow	3.593	Noun
7890	dove	3.594	Noun
339205	owl	3.596	Noun
358081	cormorant	3.597	Noun
1510388	toucan	3.598	Noun
966	dog	3.61	Noun
501465	rabbit	3.614	Noun
5446	cat	3.62	Noun
1510392	opossum	3.622	Noun
6237	mouse	3.63	Noun
6233	rat	3.63	Noun
1460	fish	3.65	Noun
1425624	fin	3.652	Noun
1505745	scale	3.653	Noun
844061	gill	3.654	Noun
161542	shell	3.655	Noun
481253	shark	3.661	Noun
1210547	porpoise	3.662	Noun
616807	dolphin	3.662	Noun
4147	whale	3.663	Noun
8401	stingray	3.664	Noun
433736	freshwater eel	3.665	Noun
158033	wolf	3.71	Noun
5961	lion	3.72	Noun
7552	bear	3.73	Noun
5726	fox	3.74	Noun
858	deer	3.75	Noun
5870	monkey	3.76	Noun
5643	elephant	3.77	Noun
8069	camel	3.78	Noun
1959	insect	3.81	Noun
1510396	head louse	3.811	Noun
1510400	body louse	3.8112	Noun
1505748	nit	3.812	Noun
1476	flea	3.813	Noun
915513	centipede	3.814	Noun
636601	scorpion	3.815	Noun
646	cockroach	3.816	Noun
160271	ant	3.817	Noun
3588	spider	3.818	Noun
456539	spider web	3.819	Noun
325	bee	3.82	Noun
851017	beeswax	3.821	Noun
1161759	beehive	3.822	Noun
631360	wasp	3.823	Noun
6261	fly	3.83	Noun
1167672	sandfly	3.831	Noun
630453	mosquito	3.832	Noun
1486478	prawns	3.833	Noun
3747	termites	3.834	Noun
633535	tick	3.835	Noun
5466	worm	3.84	Noun
3388	snake	3.85	Noun
388687	coyote	3.862	Noun
535092	hare	3.863	Noun
8235	quail	3.865	Noun
354847	raccoon	3.866	Noun
666598	squirrel	3.869	Noun
812111	reindeer	3.871	Noun
718134	elk	3.872	Noun
540414	beaver	3.873	Noun
1355026	kangaroo	3.88	Noun
1385114	anteater	3.89	Noun
5513	jaguar	3.9	Noun
1415152	firefly	3.91	Noun
640095	chameleon	3.913	Noun
398978	buffalo	3.917	Noun
7316	butterfly	3.92	Noun
1677	grasshopper	3.93	Noun
638694	snail	3.94	Noun
1570	frog	3.95	Noun
2189	lizard	3.96	Noun
791	crocodile	3.97	Noun
648694	alligator	3.97	Noun
1200609	turtle	3.98	Noun
1510404	tapir	3.99	Noun
1510408	agouti	3.99902	Noun
162	amphibian	3.99903	Noun
817621	armadillo	3.99906	Noun
1510412	bandicoot	3.99907	Noun
1510416	barn owl	3.99908	Noun
1510420	bustard	3.99909	Noun
1510424	capibara	3.9991	Noun
914040	caterpillar	3.99911	Noun
848799	codfish	3.99912	Noun
1510432	condor	3.99913	Noun
1510435	herd	3.99917	Noun
1510442	hocco	3.99918	Noun
652702	humming bird	3.99919	Noun
1510446	ibis	3.9992	Noun
647456	iguana	3.99921	Noun
1510450	jabiru	3.99922	Noun
654563	kingfisher	3.99923	Noun
5980	louse	3.99924	Noun
5868	male pig	3.99926	Noun
8385	mole	3.99929	Noun
1510460	paca	3.9993	Noun
664663	partridge	3.99932	Noun
2758	pet	3.99933	Noun
1510464	piranha	3.99934	Noun
1510468	plover	3.99935	Noun
1048856	pouched marmot	3.99936	Noun
367712	prairie dog	3.99937	Noun
1510472	roadrunner	3.99938	Noun
1255367	skunk	3.99939	Noun
3552	songbird	3.9994	Noun
7891	sparrow	3.99941	Noun
8437	tiger	3.99942	Noun
1510476	trumpeter bird	3.99943	Noun
404160	chipmunk	3.99944	Noun
6179	body	4.11	Noun
3430	skin	4.12	Noun
1505751	hide	4.12	Noun
2300	flesh	4.13	Noun
446278	hair	4.14	Noun
333455	beard	4.142	Noun
1399403	body hair	4.144	Noun
1073333	pubic hair	4.145	Noun
158253	dandruff	4.146	Noun
411	blood	4.15	Noun
8471	vein	4.151	Noun
8473	artery	4.151	Noun
5983	bone	4.16	Noun
348225	rib	4.162	Noun
5981	horn	4.17	Noun
5468	tail	4.18	Noun
5648	back	4.19	Noun
348411	spine	4.191	Noun
5527	head	4.2	Noun
6567	temples	4.201	Noun
6568	skull	4.202	Noun
6504	brain	4.203	Noun
6410	face	4.204	Noun
1241509	forehead	4.205	Noun
348120	jaw	4.207	Noun
7034	cheek	4.208	Noun
6306	chin	4.209	Noun
5511	eye	4.21	Noun
523726	eyebrow	4.212	Noun
1046808	eyelid	4.213	Noun
637874	eyelash	4.214	Noun
6813	blink	4.215	Verb
5510	ear	4.22	Noun
1048124	earlobe	4.221	Noun
1071961	earwax	4.222	Noun
5471	nose	4.23	Noun
527874	nostril	4.231	Noun
1417428	nasal mucus	4.232	Noun
332000	mouth	4.24	Noun
1142217	beak	4.241	Noun
154710	lip	4.25	Noun
5440	tongue	4.26	Noun
5946	tooth	4.27	Noun
1295456	gums	4.271	Noun
451991	molar tooth	4.272	Noun
5823	neck	4.28	Noun
5862	nape of the neck	4.281	Noun
5861	throat	4.29	Noun
6186	shoulder	4.3	Noun
1372842	shoulderblade	4.301	Noun
953048	collarbone	4.302	Noun
6894	arm	4.31	Noun
818235	armpit	4.312	Noun
422180	elbow	4.32	Noun
348173	wrist	4.321	Noun
5616	hand	4.33	Noun
529277	palm of the hand	4.331	Noun
5675	finger	4.34	Noun
7250	thumb	4.342	Noun
