54	KEPT	THE RAINBOW	rainbow	1.59	the rainbow	Noun	The physical world	0.14	0.84	0.79	44	-
55	KEPT	THE LIGHT	light	1.61	the light	Noun	The physical world	0.21	0.89	0.89	49	-
56	KEPT	THE DARKNESS	darkness	1.62	the darkness	Noun	The physical world	0.15	0.87	0.74	49	-
57	SPLIT	THE SHADE	shade	1.63	the shade or shadow	Noun	The physical world	0.11	0.90	0.93	52	-
58	SPLIT	THE SHADOW	shadow	1.63	the shade or shadow	Noun	The physical world	0.11	0.90	0.93	52	-
59	KEPT	THE DEW	dew	1.64	the dew	Noun	The physical world	0.16	0.87	0.90	50	-
60	KEPT	THE AIR	air	1.71	the air	Noun	The physical world	0.48	0.92	0.94	42	-
61	KEPT	THE WIND	wind	1.72	the wind	Noun	The physical world	0.17	0.91	0.99	45	-
62	KEPT	THE CLOUD	cloud	1.73	the cloud	Noun	The physical world	0.16	0.89	0.94	45	-
63	KEPT	THE FOG	fog	1.74	the fog	Noun	The physical world	0.14	0.86	0.91	48	-
64	KEPT	THE RAIN	rain	1.75	the rain	Noun	The physical world	0.08	0.91	0.95	43	-
65	KEPT	THE SNOW	snow	1.76	the snow	Noun	The physical world	0.24	0.89	0.93	36	-
66	KEPT	THE ICE	ice	1.77	the ice	Noun	The physical world	0.23	0.83	0.90	45	-
67	KEPT	THE ARCTIC LIGHTS	arctic lights	1.771	the arctic lights	Noun	The physical world	0.22	0.72	0.56	16	-
68	KEPT	TO FREEZE	freeze	1.775	to freeze	Verb	The physical world	0.13	0.84	0.77	37	-
69	KEPT	THE WEATHER	weather	1.78	the weather	Noun	The physical world	0.36	0.83	0.85	39	-
70	KEPT	THE FIRE	fire	1.81	the fire	Noun	The physical world	0.04	0.94	0.99	42	-
71	KEPT	THE FLAME	flame	1.82	the flame	Noun	The physical world	0.18	0.88	0.76	45	-
72	KEPT	THE SMOKE	smoke	1.83	the smoke	Noun	The physical world	0.08	0.84	0.93	44	-
73	KEPT	THE STEAM	steam	1.831	the steam	Noun	The physical world	0.23	0.83	0.88	45	-
74	KEPT	THE ASH	ash	1.84	the ash	Noun	The physical world	0.15	0.87	0.92	43	ashes
75	KEPT	THE EMBERS	embers	1.841	the embers	Noun	The physical world	0.25	0.80	0.83	44	-
76	KEPT	TO BURN (TRANSITIVE)	burn	1.851	to burn(1)	Verb	The physical world	0.10	0.89	0.78	47	-
77	KEPT	TO BURN (INTRANSITIVE)	burn	1.852	to burn(2)	Verb	The physical world	0.05	0.85	0.89	44	-
78	KEPT	TO LIGHT	light	1.86	to light	Verb	The physical world	0.06	0.82	0.77	53	-
79	KEPT	TO EXTINGUISH	extinguish	1.861	to extinguish	Verb	The physical world	0.15	0.89	0.76	45	-
80	KEPT	THE MATCH	match	1.87	the match	Noun	The physical world	0.67	0.74	0.87	52	-
81	KEPT	THE FIREWOOD	firewood	1.88	the firewood	Noun	The physical world	0.05	0.89	0.84	42	-
82	KEPT	THE CHARCOAL	charcoal	1.89	the charcoal	Noun	The physical world	0.26	0.88	0.88	46	-
83	KEPT	THE BEACH	beach	1.99901	the beach	Noun	The physical world	0.00	0.50	0.62	2	-
84	KEPT	THE COAL	coal	1.99903	the coal	Noun	The physical world	0.00	1.00	1.00	1	-
85	KEPT	THE CONSTELLATION	constellation	1.99904	the constellation	Noun	The physical world	0.00	1.00	1.00	1	-
86	SPLIT	THE JADE	jade	1.99905	the jade or jadeite	Noun	The physical world	1.00	0.60	1.00	1	-
87	SPLIT	THE JADEITE	jadeite	1.99905	the jade or jadeite	Noun	The physical world	1.00	0.60	1.00	1	-
88	KEPT	THE LOAM	loam	1.99906	the loam	Noun	The physical world	0.00	0.50	0.75	1	-
89	IGNORE	THE RIVER (DUPLICATE)	river	1.99907	the river	Noun	The physical world	1.00	0.50	1.00	2	-
90	KEPT	THE RIVER MOUTH	river mouth	1.99908	the river mouth	Noun	The physical world	0.00	0.50	1.00	1	-
91	KEPT	THE SHORT DRY SEASON	short dry season	1.99909	the short dry season	Noun	The physical world	0.00	0.50	0.50	1	-
92	KEPT	THE SPRING	spring	1.9991	the spring	Noun	The physical world	0.00	0.67	0.67	2	-
93	KEPT	TO BLAZE	blaze	1.99911	to blaze	Verb	The physical world	0.00	1.00	0.75	1	-
94	KEPT	TO MELT	melt	1.99912	to melt	Verb	The physical world	0.00	1.00	0.75	2	-
95	KEPT	THE PERSON	person	2.1	the person	Noun	Kinship	0.32	0.93	0.93	51	-
96	KEPT	THE MAN	man	2.21	the man	Noun	Kinship	0.10	0.89	0.88	52	-
97	KEPT	THE WOMAN	woman	2.22	the woman	Noun	Kinship	0.16	0.82	0.89	53	-
98	KEPT	MALE (OF HUMANS)	male	2.23	male(1)	Adjective	Kinship	0.19	0.87	0.83	44	-
99	KEPT	FEMALE (OF HUMANS)	female	2.24	female(1)	Adjective	Kinship	0.16	0.86	0.85	44	-
100	KEPT	THE BOY	boy	2.25	the boy	Noun	Kinship	0.17	0.86	0.74	49	-
101	KEPT	THE YOUNG MAN	young man	2.251	the young man	Noun	Kinship	0.24	0.87	0.74	51	-
102	KEPT	THE GIRL	girl	2.26	the girl	Noun	Kinship	0.14	0.88	0.76	48	-
103	KEPT	THE YOUNG WOMAN	young woman	2.261	the young woman	Noun	Kinship	0.17	0.85	0.76	49	-
104	KEPT	THE CHILD (YOUNG HUMAN)	child	2.27	the child(1)	Noun	Kinship	0.15	0.85	0.89	51	-
105	KEPT	THE BABY	baby	2.28	the baby	Noun	Kinship	0.22	0.80	0.81	50	-
106	KEPT	THE HUSBAND	husband	2.31	the husband	Noun	Kinship	0.20	0.88	0.90	57	-
107	KEPT	THE WIFE	wife	2.32	the wife	Noun	Kinship	0.18	0.85	0.84	59	-
108	KEPT	TO MARRY	marry	2.33	to marry	Verb	Kinship	0.14	0.81	0.69	68	-
109	KEPT	THE WEDDING	wedding	2.34	the wedding	Noun	Kinship	0.25	0.80	0.76	46	-
110	KEPT	THE DIVORCE	divorce	2.341	the divorce	Noun	Kinship	0.25	0.79	0.65	40	-
111	KEPT	THE FATHER	father	2.35	the father	Noun	Kinship	0.25	0.86	0.96	53	-
112	KEPT	THE MOTHER	mother	2.36	the mother	Noun	Kinship	0.19	0.87	0.95	57	-
113	KEPT	THE PARENTS	parents	2.37	the parents	Noun	Kinship	0.12	0.84	0.63	42	-
114	KEPT	THE MARRIED MAN	married man	2.38	the married man	Noun	Kinship	0.05	0.80	0.62	29	-
115	KEPT	THE MARRIED WOMAN	married woman	2.39	the married woman	Noun	Kinship	0.01	0.77	0.59	30	-
116	KEPT	THE SON	son	2.41	the son	Noun	Kinship	0.11	0.88	0.87	48	-
117	KEPT	THE DAUGHTER	daughter	2.42	the daughter	Noun	Kinship	0.12	0.86	0.85	48	-
118	KEPT	THE CHILD (SON OR DAUGHTER)	child	2.43	the child(2)	Noun	Kinship	0.07	0.88	0.93	49	-
119	KEPT	THE BROTHER	brother	2.44	the brother	Noun	Kinship	0.06	0.87	0.81	48	-
120	KEPT	THE OLDER BROTHER	older brother	2.444	the older brother	Noun	Kinship	0.06	0.85	0.79	44	-
121	KEPT	THE YOUNGER BROTHER	younger brother	2.445	the younger brother	Noun	Kinship	0.03	0.84	0.73	40	-
122	KEPT	THE SISTER	sister	2.45	the sister	Noun	Kinship	0.12	0.81	0.81	48	-
123	KEPT	THE OLDER SISTER	older sister	2.454	the older sister	Noun	Kinship	0.06	0.82	0.71	43	-
124	KEPT	THE YOUNGER SISTER	younger sister	2.455	the younger sister	Noun	Kinship	0.01	0.79	0.68	39	-
125	KEPT	THE SIBLING	sibling	2.456	the sibling	Noun	Kinship	0.14	0.85	0.66	39	-
126	KEPT	THE OLDER SIBLING	older sibling	2.4561	the older sibling	Noun	Kinship	0.06	0.85	0.77	31	-
127	KEPT	THE YOUNGER SIBLING	younger sibling	2.4562	the younger sibling	Noun	Kinship	0.17	0.86	0.81	26	-
128	KEPT	THE TWINS	twins	2.458	the twins	Noun	Kinship	0.23	0.81	0.76	43	-
129	KEPT	THE GRANDFATHER	grandfather	2.46	the grandfather	Noun	Kinship	0.27	0.83	0.83	58	-
130	KEPT	THE OLD MAN	old man	2.461	the old man	Noun	Kinship	0.23	0.81	0.75	45	-
131	KEPT	THE GRANDMOTHER	grandmother	2.47	the grandmother	Noun	Kinship	0.27	0.84	0.82	59	-
132	KEPT	THE OLD WOMAN	old woman	2.471	the old woman	Noun	Kinship	0.13	0.78	0.69	45	-
133	KEPT	THE GRANDPARENTS	grandparents	2.4711	the grandparents	Noun	Kinship	0.19	0.83	0.65	29	-
134	KEPT	THE GRANDSON	grandson	2.48	the grandson	Noun	Kinship	0.10	0.85	0.75	45	-
135	KEPT	THE GRANDDAUGHTER	granddaughter	2.49	the granddaughter	Noun	Kinship	0.10	0.83	0.73	46	-
136	KEPT	THE GRANDCHILD	grandchild	2.5	the grandchild	Noun	Kinship	0.13	0.83	0.86	38	-
137	KEPT	THE UNCLE	uncle	2.51	the uncle	Noun	Kinship	0.30	0.87	0.94	41	-
138	KEPT	THE MOTHER'S BROTHER	mother's brother	2.511	the mother's brother	Noun	Kinship	0.21	0.78	0.91	40	-
139	KEPT	THE FATHER'S BROTHER	father's brother	2.512	the father's brother	Noun	Kinship	0.22	0.81	0.79	43	-
140	KEPT	THE AUNT	aunt	2.52	the aunt	Noun	Kinship	0.24	0.84	0.87	45	-
141	KEPT	THE MOTHER'S SISTER	mother's sister	2.521	the mother's sister	Noun	Kinship	0.22	0.79	0.82	42	-
142	KEPT	THE FATHER'S SISTER	father's sister	2.522	the father's sister	Noun	Kinship	0.28	0.84	0.91	42	-
143	KEPT	THE NEPHEW	nephew	2.53	the nephew	Noun	Kinship	0.19	0.84	0.73	47	-
144	KEPT	THE NIECE	niece	2.54	the niece	Noun	Kinship	0.15	0.82	0.68	48	-
145	KEPT	THE SIBLING’S CHILD	sibling’s child	2.541	the sibling’s child	Noun	Kinship	0.22	0.84	0.81	36	-
146	KEPT	THE COUSIN	cousin	2.55	the cousin	Noun	Kinship	0.12	0.80	0.70	76	-
