Number	Gloss
1	ashes
2	belly
3	big
4	bird
5	black
6	blood
7	bone
8	breast
9	cloud
10	cold
11	come
12	die
13	dog
14	drink
15	dry
16	ear
17	earth
18	eat
19	egg
20	eye
21	far
22	fat n.
23	fire
24	fish
25	fly v.
26	foot
27	full
28	give
29	good
30	green
31	hair
32	hand
33	head
34	hear
35	heart
36	heavy
37	horn
38	I
39	kill
40	knee
41	know
42	leaf
43	liver
44	long
45	louse
46	man
47	many
48	meat
49	moon
50	mountain
51	mouth
52	name
53	near
54	neck
55	new
56	night
57	nose
58	not
59	one
60	person
61	rain
62	red
63	road
64	root
65	round
66	salt
67	sand
68	say
69	see
70	short
71	sit
72	skin
73	sleep
74	small
75	smoke
76	snake
77	stand
78	star
79	stone
80	sun
81	swim
82	tail
83	that
84	thin
85	this
86	thou
87	tongue
88	tooth
89	tree
90	two
91	walk (go)
92	water
93	what
94	white
95	who
96	wind
97	woman
98	worm
99	year
100	yellow
