Number	Gloss
1	blood
2	fish (noun)
3	mountain
4	star
5	bone
6	full
7	name (noun)
8	stone
9	breast (woman’s)
10	hand
11	new
12	sun
13	come
14	hear
15	night (dark time)
16	tongue
17	die
18	horn (animal part)
19	nose
20	tooth
21	dog
22	I
23	one
24	tree
25	drink (verb)
26	knee
27	path
28	two
29	ear
30	leaf
31	person
32	water
33	eye
34	liver
35	see
36	we
37	fire
38	louse
39	skin
40	you
