ID	Gloss	abvd	alpher	asjp	dolgo	ids	ielex	jach100	jach65	jachontov	leijaka	matisoff	starostin	swadesh100	swadesh100b	swadesh200
191	breathe (V)	to breathe <28>	-	-	-	breathe, breath <4.51>	to breathe <99>	-	-	-	-	-	-	-	-	to breathe <19>
192	if	if <193>	-	-	-	-	if <205>	-	-	-	-	-	-	-	if <42>	if <80>
193	rain (V)	-	-	-	-	-	to rain <151>	-	-	-	-	-	rain <65>	rain <65>	-	to rain <115>
194	live (V)	to live, be alive <76>	-	-	-	dwell, live <7.11>	to live <108>	-	-	-	-	-	-	-	-	to live <90>
195	other	other <190>	-	-	-	-	other <21>	-	-	-	-	-	-	-	other <9>	other <110>
196	count (V)	to count <196>	-	-	-	count <13.107>	to count <139>	-	-	-	-	-	-	-	-	to count <25>
197	forest	woods/forest <127>	-	-	-	woods, forest <1.41>	forest <52>	-	-	-	-	-	-	-	-	woods <196>
198	arm	-	-	-	-	arm <4.31>	-	-	-	-	arm/hand <19>	hand/arm <12>	-	-	arm <28>	-
199	drink	-	-	-	-	beverage, drink <5.9>	-	drink <14>	drink <10>	-	-	drink <176>	-	-	-	-
200	stick (V)	-	-	-	-	-	to stab (or stick) <116>	-	-	-	-	-	-	-	pierce <79>	to stab (or stick) <150>
201	grease	fat/grease <104>	fat, grease <27>	-	-	-	-	-	-	-	-	fat/grease <7>	-	-	-	-
202	with	-	-	-	-	-	with (accompanying) <203>	-	-	-	-	-	-	-	with <39>	with (accompanying) <194>
203	sweet	-	-	-	-	sweet <15.35>	-	-	-	-	sweet <90>	sweet <159>	-	-	-	-
204	thigh	-	thigh <84>	-	-	thigh <4.351>	-	-	-	-	thigh <76>	-	-	-	-	-
205	soft	-	soft <142>	-	-	soft <15.75>	-	-	-	-	-	soft(to touch) <168>	-	-	-	-
206	correct	correct, true <166>	-	-	-	right, correct <16.73>	-	-	-	-	-	-	-	-	correct <69>	-
207	turn (V)	to turn <8>	-	-	-	-	to turn (change direction) <126>	-	-	-	-	-	-	-	-	to turn (change one's direction) <175>
208	lie down (V)	-	to be lying down <51>	-	-	lie down <12.14>	-	-	-	-	-	sleep/lie down <129>	-	-	-	-
209	push (V)	-	-	-	-	-	to push <135>	-	-	-	-	-	-	-	push <75>	to push <114>
210	below	below <176>	down, below <17>	-	-	down, below <12.3>	-	-	-	-	-	-	-	-	-	-
211	alive	to live, be alive <76>	-	-	-	-	-	-	-	-	-	alive <153>	-	-	alive <98>	-
212	cook (V)	to cook <39>	-	-	-	cook <5.21>	-	-	-	-	-	cook/boil <183>	-	-	-	-
213	milk	-	-	-	-	milk (vb) <5.87>	-	-	-	-	-	vagina or breast/milk <30>	-	-	milk <35>	-
214	finger-nail	-	fingernail <28>	-	finger-nail/toe-nail <11>	fingernail <4.344>	-	-	-	-	-	-	-	-	-	-
215	buy (V)	to buy <91>	-	-	-	buy <11.81>	-	-	-	-	-	buy <190>	-	-	-	-
216	here	-	-	-	-	-	here <9>	-	-	-	-	-	-	-	here <7>	here <72>
217	ripe	-	-	-	-	ripe <5.123>	-	-	-	-	-	ripe/well-cooked <167>	-	-	ripe <96>	-
218	hold (V)	to hold <89>	-	-	-	-	to hold (in one's hand) <129>	-	-	-	-	-	-	-	-	to hold (in hand) <74>
219	mosquito	mosquito <109>	mosquito <133>	-	-	mosquito <3.832>	-	-	-	-	-	-	-	-	-	-
220	there	-	-	-	-	-	there <10>	-	-	-	-	-	-	-	there <8>	there <162>
221	grease	-	-	-	-	grease, fat <5.791>	-	fat n. <22>	fat n. <15>	-	-	-	-	-	-	-
222	bitter	-	-	-	-	bitter <15.37>	-	-	-	-	bitter <28>	bitter <161>	-	-	-	-
223	dream	to dream <50>	dream (N) <122>	-	-	dream <4.62>	-	-	-	-	-	-	-	-	-	-
224	soil	earth/soil <119>	-	-	-	earth=ground, soil <1.212>	-	-	-	-	soil <63>	-	-	-	-	-
225	flow (V)	to flow <123>	-	-	-	-	to flow <144>	-	-	-	-	-	-	-	-	to flow <53>
226	shoulder	shoulder <19>	shoulder <101>	-	-	shoulder <4.3>	-	-	-	-	-	-	-	-	-	-
227	path	road/path <6>	-	path <27>	-	path <10.72>	-	-	-	-	-	-	-	-	-	-
228	hard	-	hard <117>	-	-	hard <15.74>	-	-	-	-	hard <99>	-	-	-	-	-
229	rat	rat <102>	-	-	-	mouse, rat <3.63>	-	-	-	-	-	rat/rodent <69>	-	-	-	-
230	fear (V)	-	-	-	-	-	to fear <106>	-	-	-	-	fear/frighten <144>	-	-	-	to fear <45>
231	spit (V)	to spit <36>	-	-	-	-	to spit <96>	-	-	-	-	-	-	-	-	to spit <147>
232	split (V)	to split <80>	-	-	-	-	to split <115>	-	-	-	-	-	-	-	-	to split <148>
233	stand	-	-	-	-	stand <12.15>	-	stand <77>	stand <55>	-	-	-	-	-	-	-
234	fly	-	fly (N) <30>	-	-	fly (vb) <10.37>	-	-	-	-	fly <20>	-	-	-	-	-
235	hundred	One Hundred <209>	-	-	-	hundred <13.105>	-	-	-	-	-	hundred <119>	-	-	-	-
236	river	-	-	-	-	-	river <152>	-	-	-	-	river/valley <81>	-	-	-	river <119>
237	ant	-	-	-	-	ant <3.817>	-	-	-	-	ant <71>	ant <67>	-	-	-	-
238	needle	needle <68>	-	-	-	needle <6.36>	-	-	-	-	-	needle <104>	-	-	-	-
239	flesh	meat/flesh <103>	-	-	-	flesh <4.13>	-	-	-	-	flesh/meat <18>	-	-	-	-	-
240	take (V)	-	to take <106>	-	-	take <11.13>	-	-	-	-	to take <73>	-	-	-	-	-
241	and	and <192>	-	-	-	-	and <204>	-	-	-	-	-	-	-	-	and <2>
242	few	-	-	-	-	-	few <20>	-	-	-	-	-	-	-	few <13>	few <47>
243	branch	branch <113>	-	-	-	branch <8.55>	-	-	-	-	-	branch <94>	-	-	-	-
244	steal (V)	to steal <73>	-	-	-	steal <21.51>	-	-	-	-	-	steal <179>	-	-	-	-
245	some	-	-	-	-	some <13.181>	some <19>	-	-	-	-	-	-	-	-	some <146>
246	freeze (V)	-	-	-	-	-	to freeze <145>	-	-	-	-	-	-	-	freeze <50>	to freeze <59>
247	grind (V)	-	-	-	-	crush, grind <5.56>	-	-	-	-	to crush/grind <100>	grind <184>	-	-	-	-
248	down 1	-	down, below <17>	-	-	down, below <12.3>	-	-	-	-	-	-	-	-	down <94>	-
249	twenty	Twenty <207>	-	-	-	twenty <13.104>	-	-	-	-	-	twenty/score <115>	-	-	-	-
250	elbow	-	elbow <22>	-	-	elbow <4.32>	-	-	-	-	-	-	-	-	-	-
251	weep (V)	-	-	-	-	cry, weep <16.37>	-	-	-	-	to cry/weep <87>	-	-	-	-	-
252	hip	-	hip <128>	-	-	hip <4.463>	-	-	-	-	-	-	-	-	-	-
253	drive (V)	-	-	-	-	drive <10.65>	-	-	-	-	-	drive/hunt <200>	-	-	-	-
254	kick (V)	-	-	-	-	kick <10.431>	-	-	-	-	-	kick <197>	-	-	-	-
255	ten	Ten <206>	-	-	-	-	-	-	-	-	-	ten <118>	-	-	-	-
256	south	-	south <75>	-	-	south <12.48>	-	-	-	-	-	-	-	-	-	-
257	nail	-	-	-	-	nail <9.5>	-	-	-	-	-	nail/claw <26>	-	-	-	-
258	shade	-	shade <137>	-	-	-	-	-	-	-	-	shade/shadow <97>	-	-	-	-
259	fowl	-	-	-	-	fowl <3.5>	-	-	-	-	-	fowl <64>	-	-	-	-
260	blow	-	-	-	-	blow <10.38>	-	-	-	-	-	-	-	-	blow <90>	-
261	dove	-	-	-	-	dove <3.594>	-	-	-	-	-	dover <61>	-	-	-	-
262	valley	-	-	-	-	valley <1.24>	-	-	-	-	-	river/valley <81>	-	-	-	-
263	bamboo	-	-	-	-	bamboo <8.94>	-	-	-	-	-	bamboo <96>	-	-	-	-
264	mortar	-	-	-	-	mortar <5.58>	-	-	-	-	-	mortar <108>	-	-	-	-
265	float (V)	-	-	-	-	-	to float <143>	-	-	-	-	-	-	-	-	to float <52>
266	dark	-	-	-	-	dark (in color) <15.63>	-	-	-	-	-	-	-	-	dark <52>	-
267	tomorrow	-	tomorrow <114>	-	-	tomorrow <14.48>	-	-	-	-	-	-	-	-	-	-
268	brain	-	-	-	-	brain <4.203>	-	-	-	-	-	brain <31>	-	-	-	-
269	hide (V)	-	-	-	-	hide, conceal <12.27>	-	-	-	-	to hide <67>	-	-	-	-	-
270	mud	-	mud <135>	-	-	mud <1.214>	-	-	-	-	-	-	-	-	-	-
271	forehead	-	forehead <33>	-	-	forehead <4.205>	-	-	-	-	-	-	-	-	-	-
272	son	-	-	-	-	son <2.41>	-	-	-	-	-	child/son <43>	-	-	-	-
273	up	-	up <91>	-	-	-	-	-	-	-	-	-	-	-	up <95>	-
274	sniff (V)	to sniff, smell <29>	-	-	-	sniff <15.212>	-	-	-	-	-	-	-	-	-	-
275	tall	-	-	-	-	tall <12.58>	-	-	-	-	-	long/tall <158>	-	-	-	-
276	lightning	lightning <135>	-	-	-	lightning <1.55>	-	-	-	-	-	-	-	-	-	-
277	son-in-law	-	-	-	-	son-in-law (of a woman) <2.631>	-	-	-	-	-	son-in-law <45>	-	-	-	-
278	seven	Seven <203>	-	-	-	-	-	-	-	-	-	seven <117>	-	-	-	-
279	rice	-	-	-	-	rice <8.48>	-	-	-	-	-	plaintain/banana <51>	-	-	-	-
280	frog	-	-	-	-	frog <3.95>	-	-	-	-	-	frog <58>	-	-	-	-
281	roof	thatch/roof <62>	-	-	-	roof <7.51>	-	-	-	-	-	-	-	-	-	-
282	nine	Nine <205>	-	-	-	-	-	-	-	-	-	nine <126>	-	-	-	-
283	smell	-	-	-	-	stinking, bad smelling <15.26>	-	-	-	-	-	-	-	-	smell <87>	-
284	born	-	-	-	-	born (to be) <4.72>	-	-	-	-	-	be born <128>	-	-	-	-
285	true	correc, true <166>	-	-	-	true <16.66>	-	-	-	-	-	-	-	-	-	-
286	ground	-	ground <37>	-	-	earth=ground, soil <1.212>	-	-	-	-	-	-	-	-	-	-
287	pick up (V)	-	to get, pick up <34>	-	-	pick up <12.212>	-	-	-	-	-	-	-	-	-	-
288	cooked	-	-	-	-	cooked <5.121>	-	-	-	-	-	ripe/well-cooked <167>	-	-	-	-
289	play (V)	-	-	-	-	-	to play <142>	-	-	-	-	-	-	-	-	to play <112>
290	cut	-	-	-	-	cut <9.22>	-	-	-	-	-	-	-	-	cut <53>	-
291	shade	-	-	-	-	shade, shadow <1.63>	-	-	-	-	shade/shadow <92>	-	-	-	-	-
292	grow (V)	to grow <86>	-	-	-	grow <12.53>	-	-	-	-	-	-	-	-	-	-
293	west	-	west <94>	-	-	west <12.46>	-	-	-	-	-	-	-	-	-	-
294	thousand	One Thousand <210>	-	-	-	thousand <13.106>	-	-	-	-	-	-	-	-	-	-
295	medicine	-	-	-	-	medicine, drug <4.88>	-	-	-	-	-	plaintain/banana <51>	-	-	-	-
296	split	-	-	-	-	split <9.27>	-	-	-	-	-	-	-	-	split <78>	-
297	now	-	now, today <60>	-	-	now <14.18>	-	-	-	-	-	-	-	-	-	-
298	thunder	thunder <134>	-	-	-	thunder <1.56>	-	-	-	-	-	-	-	-	-	-
299	cry (V)	-	-	-	-	cry, weep <16.37>	-	-	-	-	to cry/weep <87>	-	-	-	-	-
300	chest	-	chest <12>	-	-	chest <4.4>	-	-	-	-	-	-	-	-	-	-
301	old man	-	old man <61>	-	-	old man <2.461>	-	-	-	-	-	-	-	-	-	-
302	ashamed	shy, ashamed <161>	-	-	-	-	-	-	-	-	-	ashamed <146>	-	-	-	-
303	light 1	-	light <141>	-	-	-	-	-	-	-	-	lightweight <174>	-	-	-	-
304	dig	-	-	-	-	dig <8.22>	-	-	-	-	-	-	-	-	dig <80>	-
305	wipe (V)	-	-	-	-	-	to wipe <133>	-	-	-	-	-	-	-	-	to wipe <193>
306	hole	-	hole <139>	-	-	hole <12.85>	-	-	-	-	-	-	-	-	-	-
307	she	-	-	-	-	he/she/it <2.93>	-	-	-	-	3SG pronoun <35>	-	-	-	-	-
308	north	-	north <58>	-	-	north <12.47>	-	-	-	-	-	-	-	-	-	-
309	mushroom	-	-	-	-	mushroom <8.98>	-	-	-	-	-	mushroom/fungus <49>	-	-	-	-
310	iron	-	-	-	-	iron <9.67>	-	-	-	-	-	iron <101>	-	-	-	-
311	because	-	-	-	-	-	because <206>	-	-	-	-	-	-	-	-	because <9>
312	boat	-	-	-	-	boat <10.83>	-	-	-	-	-	boat <107>	-	-	-	-
313	insect	-	-	-	-	insect <3.81>	-	-	-	-	-	insect, bug, vermin <59>	-	-	-	-
314	six	Six <202>	-	-	-	-	-	-	-	-	-	six <124>	-	-	-	-
315	dead	to die, be dead <75>	-	-	dead <15>	-	-	-	-	-	-	-	-	-	-	-
316	male	man/male <54>	-	-	-	male <2.23>	-	-	-	-	-	-	-	-	-	-
317	breath	-	-	-	-	breathe, breath <4.51>	-	-	-	-	-	breath/life <39>	-	-	-	-
318	silver	-	-	-	-	silver <9.65>	-	-	-	-	-	silver <95>	-	-	-	-
319	put (V)	-	-	-	-	put <12.12>	-	-	-	-	-	put, place <199>	-	-	-	-
320	eight	Eight <204>	-	-	-	-	-	-	-	-	-	eight <125>	-	-	-	-
321	itch	-	-	-	-	itch <4.854>	-	-	-	-	-	itchy <156>	-	-	-	-
322	left	-	-	-	-	left (side) <12.42>	-	-	-	-	-	-	-	-	left <70>	-
323	spit	-	-	-	-	spit <4.56>	-	-	-	-	-	spit <21>	-	-	-	-
324	saliva	-	spit (N) <78>	-	-	-	-	-	-	-	-	-	-	-	saliva <34>	-
325	weave (V)	-	-	-	-	weave, plait <9.75>	-	-	-	-	-	waeve <193>	-	-	-	-
326	finger	-	-	-	-	finger <4.34>	-	-	-	-	-	finger/toe <27>	-	-	-	-
327	rock	-	-	-	-	stone, rock <1.44>	-	-	-	-	stone/rock <27>	-	-	-	-	-
328	rib	-	rib <64>	-	-	rib <4.162>	-	-	-	-	-	-	-	-	-	-
329	nephew	-	-	-	-	nephew <2.53>	-	-	-	-	-	grandchild (nephew) <44>	-	-	-	-
330	fur	-	-	-	-	fur <6.28>	-	-	-	-	-	-	-	-	fur <31>	-
331	beat (V)	to pound, beat <93>	-	-	-	-	-	-	-	-	to hit/beat <36>	-	-	-	-	-
332	throat	-	throat <86>	-	-	throat <4.29>	-	-	-	-	-	-	-	-	-	-
333	it	-	-	-	-	he/she/it <2.93>	-	-	-	-	3SG pronoun <35>	-	-	-	-	-
334	scrape (V)	-	-	-	-	scrape <5.48>	-	-	-	-	-	scratch(scrape <182>	-	-	-	-
335	do (V)	-	-	-	-	do, make <9.11>	-	-	-	-	to do/make <25>	-	-	-	-	-
336	female	woman/female <55>	-	-	-	female (adj) <3.13>	-	-	-	-	-	-	-	-	-	-
337	make (V)	-	-	-	-	do, make <9.11>	-	-	-	-	to do/make <25>	-	-	-	-	-
338	extinguish (V)	-	-	-	-	extinguish <1.861>	-	-	-	-	-	extinguish <188>	-	-	-	-
339	chew (V)	to chew <38>	-	-	-	chew <5.18>	-	-	-	-	-	-	-	-	-	-
340	bee	-	-	-	-	bee <3.82>	-	-	-	-	-	bee <60>	-	-	-	-
341	hair (body)	-	-	-	-	body hair <4.144>	-	-	-	-	-	hair(body) <11>	-	-	-	-
342	flee (V)	-	-	-	-	flee <10.51>	-	-	-	-	-	run/flee <142>	-	-	-	-
343	let go (V)	-	-	-	-	release, let go <11.34>	-	-	-	-	-	let go; set free; loosen <187>	-	-	-	-
344	yesterday	-	-	-	-	yesterday <14.49>	-	-	-	-	yesterday <41>	-	-	-	-	-
345	sell (V)	-	-	-	-	sell <11.82>	-	-	-	-	-	sell <198>	-	-	-	-
346	blunt	dull, blunt <82>	-	-	-	blunt, dull <15.79>	-	-	-	-	-	-	-	-	-	-
347	pound (V)	to pound, beat <93>	-	-	-	pound with fist <9.211>	-	-	-	-	-	-	-	-	-	-
348	flow	-	-	-	-	flow <10.32>	-	-	-	-	-	-	-	-	flow <18>	-
349	spider	spider <110>	-	-	-	spider <3.818>	-	-	-	-	-	-	-	-	-	-
350	hide (V)	to hide <171>	-	-	-	-	-	-	-	-	-	hide <141>	-	-	-	-
351	plant	to plant <84>	-	-	-	plant (vb) <8.531>	-	-	-	-	-	-	-	-	-	-
352	woods	woods/forest <127>	-	-	-	woods, forest <1.41>	-	-	-	-	-	-	-	-	-	-
353	shadow	-	-	-	-	shade, shadow <1.63>	-	-	-	-	shade/shadow <92>	-	-	-	-	-
354	east	-	east <19>	-	-	east <12.45>	-	-	-	-	-	-	-	-	-	-
355	thatch	thatch/roof <62>	-	-	-	thatch <7.52>	-	-	-	-	-	-	-	-	-	-
356	tear	-	-	-	tear (noun) <13>	tear (noun) <16.38>	-	-	-	-	-	-	-	-	-	-
357	fear	to fear <22>	-	-	-	-	-	-	-	-	-	-	-	-	fear <91>	-
358	pig	-	-	-	-	pig <3.35>	-	-	-	-	-	pig <63>	-	-	-	-
359	chin	-	chin <127>	-	-	chin <4.209>	-	-	-	-	-	-	-	-	-	-
360	yam	-	yam <148>	-	-	yam <8.912>	-	-	-	-	-	-	-	-	-	-
361	choose (V)	to choose <85>	-	-	-	choose <16.622>	-	-	-	-	-	-	-	-	-	-
362	forget (V)	-	-	-	-	forget <17.32>	-	-	-	-	-	forget <147>	-	-	-	-
363	monkey	-	-	-	-	monkey <3.76>	-	-	-	-	-	monkey <62>	-	-	-	-
364	life	-	-	-	-	live, living, life <4.74>	-	-	-	-	-	breath/life <39>	-	-	-	-
365	bean	-	-	-	-	bean <5.66>	-	-	-	-	-	peas, beans <47>	-	-	-	-
366	lick (V)	-	-	-	-	lick <4.59>	-	-	-	-	-	lick <180>	-	-	-	-
367	hold	-	-	-	-	hold <11.15>	-	-	-	-	-	-	-	-	hold <93>	-
368	crush (V)	-	-	-	-	crush, grind <5.56>	-	-	-	-	to crush/grind <100>	-	-	-	-	-
369	hair (head)	-	head hair <40>	-	-	-	-	-	-	-	-	hair(head) <10>	-	-	-	-
370	hide	-	-	-	-	skin, hide <4.12>	-	-	-	-	skin/hide <68>	-	-	-	-	-
371	lip	-	-	-	-	lip <4.25>	-	-	-	-	-	-	-	-	lip <30>	-
372	fight (V)	-	-	-	-	-	to fight <111>	-	-	-	-	-	-	-	-	to fight <48>
373	horse	-	-	-	-	horse (equine) <3.41>	-	-	-	-	-	horse <66>	-	-	-	-
374	penis	-	-	-	-	penis <4.492>	-	-	-	-	-	penis <29>	-	-	-	-
375	today	-	now, today <60>	-	-	today <14.47>	-	-	-	-	-	-	-	-	-	-
376	carry (V)	-	-	-	-	carry (bear) <10.61>	-	-	-	-	to carry <70>	-	-	-	-	-
377	toe	-	-	-	-	toe <4.38>	-	-	-	-	-	finger/toe <27>	-	-	-	-
378	axe	-	axe <126>	-	-	ax <9.25>	-	-	-	-	-	-	-	-	-	-
379	armpit	-	armpit <1>	-	-	armpit <4.312>	-	-	-	-	-	-	-	-	-	-
380	bite	-	bite <5>	-	-	bite <4.58>	-	-	-	-	-	-	-	-	-	-
381	cry (V)	to cry <34>	to cry <14>	-	-	-	-	-	-	-	-	-	-	-	-	-
382	hew (V)	-	-	-	-	chop, hew <9.222>	-	-	-	-	-	-	-	-	-	-
383	bright	-	-	-	-	bright <15.57>	-	-	-	-	-	-	-	-	-	-
384	cast (V)	-	-	-	-	cast (metals) <9.63>	-	-	-	-	-	-	-	-	-	-
385	catch (V)	-	-	-	-	catch (ball) <10.252>	-	-	-	-	-	-	-	-	-	-
386	yes	-	-	-	-	yes, affirmative <17.55>	-	-	-	-	-	-	-	-	-	-
387	attack (V)	-	-	-	-	attack <20.43>	-	-	-	-	-	-	-	-	-	-
388	gut	-	-	-	-	intestines, guts <4.461>	-	-	-	-	-	-	-	-	-	-
389	emerge (V)	-	-	-	-	-	-	-	-	-	-	emerge <143>	-	-	-	-
390	urine	-	urine <92>	-	-	-	-	-	-	-	-	-	-	-	-	-
391	shelf	-	-	-	-	shelf <7.47>	-	-	-	-	-	-	-	-	-	-
392	hungry	-	hungry <44>	-	-	-	-	-	-	-	-	-	-	-	-	-
393	corn	-	-	-	-	maize, corn <8.47>	-	-	-	-	-	-	-	-	-	-
394	nit	-	-	-	-	nit (louse egg) <3.812>	-	-	-	-	-	-	-	-	-	-
395	raft	-	-	-	-	raft <10.84>	-	-	-	-	-	-	-	-	-	-
396	subject	-	-	-	-	citizen, subject <19.37>	-	-	-	-	-	-	-	-	-	-
397	soup	-	-	-	-	soup, broth <5.64>	-	-	-	-	-	-	-	-	-	-
398	defeat (V)	-	-	-	-	defeat <20.42>	-	-	-	-	-	-	-	-	-	-
399	grandson	-	-	-	-	grandson <2.48>	-	-	-	-	-	-	-	-	-	-
400	always	-	-	-	-	always <14.31>	-	-	-	-	-	-	-	-	-	-
401	world	-	-	-	-	world <1.1>	-	-	-	-	-	-	-	-	-	-
402	fireplace	-	-	-	-	fireplace <7.31>	-	-	-	-	-	-	-	-	-	-
403	bow	-	-	-	-	-	-	-	-	-	-	bow <106>	-	-	-	-
404	burst open (V)	to open, uncover <92>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
405	brick	-	-	-	-	adobe <7.64>	-	-	-	-	-	-	-	-	-	-
406	bridge	-	-	-	-	bridge <10.74>	-	-	-	-	-	-	-	-	-	-
407	clothing	-	-	-	-	clothing, clothes <6.12>	-	-	-	-	-	-	-	-	-	-
408	crooked	-	-	-	-	crooked <12.74>	-	-	-	-	-	-	-	-	-	-
409	food	-	-	-	-	food <5.12>	-	-	-	-	-	-	-	-	-	-
410	cheese	-	-	-	-	cheese <5.88>	-	-	-	-	-	-	-	-	-	-
411	hurry (V)	-	-	-	-	hasten, hurry <14.23>	-	-	-	-	-	-	-	-	-	-
412	wake up (V)	-	-	-	-	wake up <4.63>	-	-	-	-	-	-	-	-	-	-
413	bald	-	-	-	-	bald <4.93>	-	-	-	-	-	-	-	-	-	-
414	twice	-	-	-	-	two times <13.38>	-	-	-	-	-	-	-	-	-	-
415	river	-	-	-	-	river, stream, brook <1.36>	-	-	-	-	-	-	-	-	-	-
416	tent	-	-	-	-	tent <7.14>	-	-	-	-	-	-	-	-	-	-
417	rescue (V)	-	-	-	-	save, rescue <11.25>	-	-	-	-	-	-	-	-	-	-
418	read (V)	-	-	-	-	read <18.52>	-	-	-	-	-	-	-	-	-	-
419	drown (V)	-	-	-	-	drowned <4.751>	-	-	-	-	-	-	-	-	-	-
420	painful sensation	painful, sick <160>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
421	famine	-	-	-	-	famine <5.141>	-	-	-	-	-	-	-	-	-	-
422	waterfall	-	-	-	-	waterfall <1.39>	-	-	-	-	-	-	-	-	-	-
423	shield	-	shield <124>	-	-	-	-	-	-	-	-	-	-	-	-	-
424	button	-	-	-	-	button <6.62>	-	-	-	-	-	-	-	-	-	-
425	wave	-	-	-	-	wave <1.35>	-	-	-	-	-	-	-	-	-	-
426	change (V)	-	-	-	-	change <12.93>	-	-	-	-	-	-	-	-	-	-
427	father's sister	-	-	-	-	father's sister <2.522>	-	-	-	-	-	-	-	-	-	-
428	few	-	-	-	-	little (quantity), few <13.17>	-	-	-	-	-	-	-	-	-	-
429	sheep	-	-	-	-	sheep <3.25>	-	-	-	-	-	-	-	-	-	-
430	sieve (V)	-	-	-	-	sieve, strain <5.47>	-	-	-	-	-	-	-	-	-	-
431	pain	-	-	-	-	pain <16.31>	-	-	-	-	-	-	-	-	-	-
432	sap	-	-	-	-	sap <8.76>	-	-	-	-	-	-	-	-	-	-
433	explain (V)	-	-	-	-	explain <17.38>	-	-	-	-	-	-	-	-	-	-
434	shoot	shoot <70>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
435	up	-	-	-	-	up, above <12.8>	-	-	-	-	-	-	-	-	-	-
436	good	-	-	-	-	fragrant, good smelling <15.25>	-	-	-	-	-	-	-	-	-	-
437	scream (V)	-	-	-	-	shriek, screech <18.18>	-	-	-	-	-	-	-	-	-	-
438	evening	-	-	-	-	evening <14.46>	-	-	-	-	-	-	-	-	-	-
439	kindle (V)	-	-	-	-	light, kindle, ignite <1.86>	-	-	-	-	-	-	-	-	-	-
440	mould (V)	-	-	-	-	mold (clay etc) <9.72>	-	-	-	-	-	-	-	-	-	-
441	cord	-	-	-	-	rope, cord <9.19>	-	-	-	-	-	-	-	-	-	-
442	jealousy	-	-	-	-	envy, jealousy <16.44>	-	-	-	-	-	-	-	-	-	-
443	field	-	-	-	-	field (for cultivation) <8.12>	-	-	-	-	-	-	-	-	-	-
444	skin	-	-	-	-	skin, hide <4.12>	-	-	-	-	-	-	-	-	-	-
445	nut	-	-	-	-	nut <5.77>	-	-	-	-	-	-	-	-	-	-
446	paddle	-	-	-	-	paddle (noun) <10.851>	-	-	-	-	-	-	-	-	-	-
447	ocean	-	-	-	-	ocean <1.329>	-	-	-	-	-	-	-	-	-	-
448	sorrow	-	-	-	-	grief, sorrow, sadness <16.32>	-	-	-	-	-	-	-	-	-	-
449	broth	-	-	-	-	soup, broth <5.64>	-	-	-	-	-	-	-	-	-	-
450	hope	-	-	-	-	hope <16.63>	-	-	-	-	-	-	-	-	-	-
451	sure	-	-	-	-	sure, certain <17.37>	-	-	-	-	-	-	-	-	-	-
452	gnat	-	-	-	-	sandfly (midge), gnat <3.831>	-	-	-	-	-	-	-	-	-	-
453	leather	-	-	-	-	leather <6.29>	-	-	-	-	-	-	-	-	-	-
454	smell	-	-	-	-	fragrant, good smelling <15.25>	-	-	-	-	-	-	-	-	-	-
455	hawk	-	-	-	-	hawk <3.585>	-	-	-	-	-	-	-	-	-	-
456	precipice	-	-	-	-	cliff, precipice <1.222>	-	-	-	-	-	-	-	-	-	-
457	sweat	-	-	-	-	-	-	-	-	-	-	sweat <35>	-	-	-	-
458	long time	-	-	-	-	long-time (for a) <14.332>	-	-	-	-	-	-	-	-	-	-
459	weapon	-	-	-	-	weapons, arms <20.21>	-	-	-	-	-	-	-	-	-	-
460	crawl (V)	-	-	-	-	creep, crawl <10.41>	-	-	-	-	-	-	-	-	-	-
461	ring	-	-	-	-	ring (for finger) <6.73>	-	-	-	-	-	-	-	-	-	-
462	in	-	-	-	-	inside, in <12.5>	-	-	-	-	-	-	-	-	-	-
463	flour	-	-	-	-	meal, flour <5.55>	-	-	-	-	-	-	-	-	-	-
464	room	-	-	-	-	room <7.21>	-	-	-	-	-	-	-	-	-	-
465	bend	-	-	-	-	bend <9.14>	-	-	-	-	-	-	-	-	-	-
466	approach (V)	-	-	-	-	approach <10.56>	-	-	-	-	-	-	-	-	-	-
467	hasten (V)	-	-	-	-	hasten, hurry <14.23>	-	-	-	-	-	-	-	-	-	-
468	boomerang	-	boomerang <123>	-	-	-	-	-	-	-	-	-	-	-	-	-
469	place	-	-	-	-	place <12.11>	-	-	-	-	-	-	-	-	-	-
470	tongs	-	-	-	-	tongs <5.391>	-	-	-	-	-	-	-	-	-	-
471	gape (V)	-	-	-	-	yawn, gape <4.52>	-	-	-	-	-	-	-	-	-	-
472	shine (V)	-	-	-	-	seem <17.18>	-	-	-	-	-	-	-	-	-	-
473	older brother	-	-	-	-	older brother <2.444>	-	-	-	-	-	-	-	-	-	-
474	flat	-	-	-	-	flat <12.71>	-	-	-	-	-	-	-	-	-	-
475	nostril	-	-	-	-	nostril <4.231>	-	-	-	-	-	-	-	-	-	-
476	score	-	-	-	-	-	-	-	-	-	-	twenty/score <115>	-	-	-	-
477	swift	-	-	-	-	swift, fast, quick <14.21>	-	-	-	-	-	-	-	-	-	-
478	glad	-	-	-	-	joyful, glad, happy <16.23>	-	-	-	-	-	-	-	-	-	-
479	intention	-	-	-	-	intention, purpose <17.41>	-	-	-	-	-	-	-	-	-	-
480	blanket	-	-	-	-	blanket <7.422>	-	-	-	-	-	-	-	-	-	-
